description
COMBAT ENCOUNTER: Follow the steps described on page 146.
COMBAT ENCOUNTER: Follow the steps described on page 146.
COMBAT ENCOUNTER: Follow the steps described on page 146.
COMBAT ENCOUNTER: Follow the steps described on page 146.
COMBAT ENCOUNTER: Follow the steps described on page 146.
COMBAT ENCOUNTER: Follow the steps described on page 146.
CLOSE ENCOUNTER: Roll on the Close Encounters table.
CLOSE ENCOUNTER: Roll on the Close Encounters table.
CLOSE ENCOUNTER: Roll on the Close Encounters table.
CLOSE ENCOUNTER: Roll on the Close Encounters table.
