"description"
"A particularly interesting geological formation. Procedure dictates you must spend a whole Time Track documenting your findings, but you will be compensated with 25 DC once you return."
"A particularly interesting geological formation. Procedure dictates you must spend a whole Time Track documenting your findings, but you will be compensated with 25 DC once you return."
"A particularly interesting geological formation. Procedure dictates you must spend a whole Time Track documenting your findings, but you will be compensated with 25 DC once you return."
"A particularly interesting geological formation. Procedure dictates you must spend a whole Time Track documenting your findings, but you will be compensated with 25 DC once you return."
"A fascinating mineral growth. Taking the appropriate samples and videos takes +1🕒 and is worth 20 DC."
"A fascinating mineral growth. Taking the appropriate samples and videos takes +1🕒 and is worth 20 DC."
"A fascinating mineral growth. Taking the appropriate samples and videos takes +1🕒 and is worth 20 DC."
"An Àrsaidh monument. There are no clues as to its meaning, if it ever meant anything to begin with. Careful documentation takes +3🕒 and is worth a bonus of 25 DC."
"An Àrsaidh monument. There are no clues as to its meaning, if it ever meant anything to begin with. Careful documentation takes +3🕒 and is worth a bonus of 25 DC."
"A Xenoanthropological artifact. Roll on page 150 to determine what it is."
