description
"Behavioral Guidelines: Closes the gap as fast as possible, rushing forward to surround its target."
"Makes a Melee attack OR rushes toward the closest opponent"
"Makes a Melee attack OR rushes toward the closest opponent"
"Makes a Melee attack OR rushes toward the closest opponent"
"Makes a Melee attack OR rushes toward the closest opponent"
"Makes a Melee attack OR rushes toward the closest opponent"
"Makes a Melee attack OR rushes toward the closest opponent"
"Makes a Melee attack OR rushes toward the closest opponent"
"Uses a special ability/skill (if applicable) OR makes a Melee attack"
"Uses a special ability/skill (if applicable) OR makes a Melee attack"
"Uses a special ability/skill (if applicable) OR makes a Melee attack"
